question,refined_correct_options,refined_incorrect_options
What do you get for not moving your car during the required time?,"['court summons for non-compliance', 'points on driving record', 'increased insurance rates']","['neighborhood watch involvement', 'temporary parking permit', 'vehicle immobilization device', 'local tow truck service']"
"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?","['shortened distance', 'direct path', 'swift route']","['city park', 'shopping center', 'quiet neighborhood', 'busy intersection']"
Where would you be able to hear a bassoon played in an unpleasing fashion?,"['community theater rehearsal', 'beginner music workshop', 'informal jam session']","['professional concert', 'masterclass session', 'orchestral performance', 'music conservatory']"
John loved competing because he was very competitive. He liked being about to divide people into what categories?,"['winners and losers', 'participants and spectators', 'achievers and non-achievers']","['potential rivals', 'casual attendees', 'competitive friends', 'strategic thinkers']"
The game was on sale. I got it then because it was usually what?,"['highly rated', 'rarely discounted', 'limited edition']","['frequently available', 'historically popular', 'often bundled', 'typically stocked']"
What could a massive building be if it is not constructed well?,"['instable structure', 'hazardous edifice', 'compromised integrity']","['historic landmark', 'efficient design', 'artistic vision', 'functional space']"
Where could a printer be used by thousands of people?,"['university library', 'community center', 'convention hall']","['corporate boardroom', 'local coffee shop', 'news agency', 'small business office']"
What could prevent someone from buying Christmas presents?,"['financial constraints', 'work commitments', 'unforeseen expenses']","['feeling happy', 'cold weather', 'believing gifts unnecessary', 'waiting for discounts']"
What is the hope of playing sports without competition?,"['enjoyment', 'social bonding', 'personal growth']","['team accolades', 'competition strategies', 'individual awards', 'performance metrics']"
"They moved out of the city to have a master bedroom, what kind of home did they seek?","['suburban residence', 'family-friendly space', 'roomy property']","['luxury apartment', 'shared housing', 'city loft', 'historic townhouse']"
What could you add a line to?,"['data visualization', 'project timeline', 'process diagram']","['traffic signal', 'community center', 'art gallery', 'sports arena']"
Joe bought a ficus. He thought it would look good in what part of his home?,"['sunlit corner', 'open living area', 'near main entrance']","['outdoor garden', 'guest room', 'busy hallway', 'home office']"
"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?","['writing desk', 'ink station', 'craft table']","['furniture store', 'kitchen counter', 'living room couch', 'bedside table']"
"When people discover something new while chatting with friends, why are they likely to continue talking?","['expanding knowledge', 'discovering commonalities', 'nurturing relationships']","['sharing gossip', 'waiting for responses', 'avoiding awkwardness', 'discussing plans']"
How can one's views change after learning about science?,"['analyze relationships', 'develop critical thinking', 'challenge existing beliefs']","['increased curiosity', 'heightened skepticism', 'greater factual retention', 'expanded vocabulary']"
"Traveling underwater has many dangers, such as low visibility causing what?","['navigation errors', 'hazard misidentification', 'collision risks']","['social interactions', 'unexpected currents', 'equipment failures', 'improved visibility']"
Where are people likely to stand at an intersection?,"['waiting for a signal', 'near public transit', 'gathered at traffic lights']","['standing on sidewalks', 'cars waiting at lights', 'crossing during red', 'leaning against barriers']"
Janet knew she was dying from her injuries because she could feel herself doing what?,"['losing limb sensation', 'heartbeat diminishing', 'breathing becoming shallow']","['experiencing sudden warmth', 'noticing increased clarity', 'feeling heightened energy', 'realizing prolonged sleep']"
"An expressway can suffer from traffic, this traffic gets worse the closer you get to any what?","['major urban center', 'large commercial district', 'popular tourist attraction']","['small rural town', 'highway exit', 'local gas station', 'industrial zone']"
Where are there more telephone booths?,"['urban centers with historical significance', 'areas with high foot traffic', 'public squares with frequent gatherings']","['airports with transient travelers', 'gas stations with convenience access', 'suburban neighborhoods with limited access', 'train stations with scheduled arrivals']"
"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?","['closer to family', 'more adaptable hours', 'aligned with interests']","['in a different city', 'available on weekends', 'required immediate training', 'focused on team projects']"
"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home, so she decided that she should get an acoustic guitar. Where might she look for one?","['local music shop', 'online instrument marketplace', 'community center rentals']","['concert venue gear', ""friend's borrowed equipment"", 'temporary band space', 'music festival stalls']"
What can someone feeling happiness fall into?,"['deeper connections', 'creative pursuits', 'meaningful aspirations']","['joyful gatherings', 'lighthearted banter', 'spontaneous adventures', 'temporary pleasures']"
How might a person address someone who is leaving?,"['offer a farewell hug', 'extend a hand for a shake', 'share a heartfelt message']","['ask for a ride', 'discuss future plans', 'offer an unsolicited opinion', 'question their choice']"
What does a chef do when working in the evening?,"['manage dinner service', 'prepare evening specials', 'oversee kitchen operations']","['study culinary techniques', 'wash utensils post-service', 'create breakfast items', 'organize pantry supplies']"
